"","V1","V2","V2A","V3","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V27","V28","V30","V31","V32","V33","V34","V35","V37","V51","V52","V53","V54","V55","V56","V57","V64","V65","V66","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V90A","V91","V92","V93","V94","V95","V96","V106","V107","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V135","V136","V137","V138","V140","V141","V144","V145","V146","V177","V178","V179","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V214","V215","V216","V218","V219","V220","V221","V222","V224","V226","V227","V232","V233","V234","V236","V236A","V237","S024","S025","Y002","Y003","SACSECVAL","SECVALWGT","RESEMAVAL","RESEMAWEIGHT","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","WEIGHT1A","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","WEIGHT2A","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","WEIGHT3A","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","WEIGHT4A","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","WEIGHT1B","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","WEIGHT2B","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","WEIGHT3B","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","WEIGHT4B","S001","S007","S018","S019","S021","COW"
"1",1,840,840,1,2,NA,1,1,1,1,2,2,2,2,2,2,1,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,2,NA,2,5,7,7,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,5,1,3,2,2,2,NA,3,NA,NA,2,1,3,1,1,1,3,2,2,1,1,NA,3,8,2,1,3,3,3,3,3,3,3,3,1,1,2,1,1,1,2,1,1,1,1,1,10,1,1,1,1,1,1,6,6,5,5,1,1,1,3,1,1,1942,40,21,NA,1,NA,1,NA,1,10,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.2375,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,0,0.088,0.66,0,0,0,0,1,0.66,0.66,0.66,0.66,1,1,0,1,0.666667,1,NA,NA,NA,NA,0.66,0.555556,0.444444,0.444444,0.481481,1,NA,NA,NA,NA,0.66,2,8400120001,0.179651,0.269477,84001211981,2
"2",1,840,840,2,3,5,1,NA,1,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,2,2,1,2,2,1,1,NA,NA,1,1,3,3,1,1,3,NA,3,3,3,3,3,NA,NA,1,2,3,2,3,3,3,2,3,NA,3,1,NA,1,1,1,1,2,2,1,2,10,1,1,1,1,1,1,5,1,5,5,1,1,NA,NA,NA,2,1939,43,17,NA,5,NA,1,NA,NA,4,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,NA,0.83,NA,0.83,0,NA,NA,NA,0.66,NA,0,NA,NA,0.66,0,0,0,0,1,0.33,0.66,0.66,0.55,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0.444444,0.444444,0.444444,0.444444,1,NA,NA,NA,NA,0.66,2,8400120002,0.179651,0.269477,84001211981,2
"3",1,840,840,3,2,1,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,NA,2,2,8,8,1,2,1,1,1,2,2,2,2,1,1,NA,3,1,6,0,2,2,1,2,2,3,1,NA,NA,1,1,1,1,1,1,1,4,1,3,1,3,3,10,3,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1964,18,18,1,2,NA,1,NA,NA,1,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.148667,0.745,NA,0.745,0,0,NA,0.202,0.66,NA,0,0.333333,0.244,0.66,NA,NA,NA,NA,0.66,0,0,0,0,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,NA,NA,NA,NA,0.66,NA,NA,NA,NA,0.66,2,8400120003,0.179651,0.269477,84001211981,2
"4",1,840,840,4,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,NA,2,6,3,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,6,0,2,2,2,2,2,1,1,NA,NA,2,1,3,1,1,1,3,4,2,3,3,3,3,NA,2,2,3,3,3,3,3,3,3,3,1,2,1,3,1,1,1,1,1,1,1,1,10,2,1,1,1,5,1,1,1,1,1,1,1,1,2,1,2,1964,18,18,1,6,NA,2,NA,NA,9,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.2765,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,0.333333,0.244,0.66,0,0,0,0,1,0.66,0.66,0.66,0.66,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120004,0.179651,0.269477,84001211981,2
"5",1,840,840,5,3,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,3,3,3,3,3,3,3,2,1,2,2,1,2,NA,2,5,5,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,6,0,2,2,1,2,2,1,1,NA,NA,1,1,1,1,1,1,2,3,1,3,3,3,3,NA,2,2,2,3,3,2,3,2,3,3,3,1,1,5,2,1,1,1,1,1,1,1,5,NA,5,5,5,5,1,1,2,5,7,5,1,1,2,1,1,1960,22,18,1,NA,NA,1,NA,NA,8,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.560417,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,1,0.666667,0.823,0.66,1,1,0,0.666667,1,0.33,0.66,0.66,0.55,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0.444444,0.666667,0.37037,1,NA,NA,NA,NA,0.66,2,8400120005,0.179651,0.269477,84001211981,2
"6",1,840,840,6,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,3,1,3,3,3,3,3,2,2,2,1,1,2,NA,2,8,7,8,1,2,1,2,1,1,2,1,2,2,2,1,2,2,6,0,2,1,2,2,2,1,2,NA,NA,1,1,2,1,2,1,2,2,1,2,1,2,2,4,1,2,2,3,3,2,2,3,2,3,1,3,1,7,1,1,1,1,2,2,2,2,9,1,3,4,8,6,3,1,1,1,5,1,1,1,5,2,1,1961,21,21,1,2,NA,2,NA,NA,9,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,1,0.625565,0.83,NA,0.83,0.5,0.33,NA,0.50626,0.66,NA,0,1,0.556,0.66,1,1,1,1,1,0.33,0.33,0.66,0.44,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0,0.444444,0.148148,1,NA,NA,NA,NA,0.66,2,8400120006,0.179651,0.269477,84001211981,2
"7",1,840,840,7,3,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,3,3,3,3,3,3,3,3,2,2,2,1,2,NA,2,9,6,8,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,4,1,2,1,2,2,3,1,NA,NA,1,1,1,1,1,1,NA,4,3,3,3,3,3,8,2,1,3,3,3,3,3,3,2,4,2,3,1,7,1,1,1,1,2,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,1945,37,15,NA,1,NA,1,NA,NA,6,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.41588,0.83,NA,0.83,0,0.66,NA,0.44752,0.66,NA,0,1,0.556,0.66,0,0,0,0,1,0.66,0.66,0.66,0.66,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120007,0.179651,0.269477,84001211981,2
"8",1,840,840,8,2,4,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,3,3,3,3,3,3,3,2,2,2,1,2,NA,2,10,10,9,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,3,1,3,1,1,2,3,3,NA,NA,1,1,3,1,1,1,1,3,NA,3,3,3,3,5,3,1,1,1,3,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,5,NA,NA,2,1937,45,13,NA,5,NA,2,NA,1,5,1,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.029333,0.83,NA,0.83,0,NA,NA,NA,0.66,NA,0,0,0.088,0.66,0,0,0,0,1,0,0,0,0,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120008,0.179651,0.269477,84001211981,2
"9",1,840,840,9,2,1,1,NA,1,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,2,NA,2,8,8,8,1,2,2,2,1,2,2,2,2,2,2,NA,4,1,1,2,1,4,1,1,2,NA,3,NA,NA,NA,2,2,2,2,1,1,NA,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,4,3,1,3,1,1,1,1,2,2,1,1,7,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,2,1952,30,14,NA,5,NA,2,NA,NA,9,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,NA,0.66,NA,0.745,0.5,NA,NA,NA,0.66,NA,0,0.333333,0.244,0.66,0,0,NA,0.071,0.66,NA,0,NA,NA,0.66,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,NA,0,0,0.008,0.66,NA,NA,NA,NA,0.66,2,8400120009,0.179651,0.269477,84001211981,2
"10",1,840,840,10,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2,2,NA,2,6,7,8,1,2,1,2,1,2,1,2,1,1,2,1,2,1,3,1,1,2,1,2,2,3,3,NA,NA,2,1,3,1,1,1,1,4,2,2,2,3,3,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,2,3,1,10,1,1,1,2,1,2,1910,72,13,NA,4,NA,1,NA,NA,3,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.1195,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,0.166667,0.166,0.66,0,0,0,0,1,0,0,0.33,0.11,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0.111111,0,1,0.37037,1,NA,NA,NA,NA,0.66,2,8400120010,0.179651,0.269477,84001211981,2
